epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1593.7,0.3107,0.93569,0.0013,1,0.95706,0.99056,0.95031,0.30301,1.22762,0.00153,0.000462259,0.000462259,0.000462259
75,1614.29,0.34001,0.87265,0.00145,0.99739,0.95833,0.99192,0.96827,0.25873,1.19849,0.00138,0.000445756,0.000445756,0.000445756
76,1635.51,0.32544,0.75741,0.00134,1,0.99012,0.995,0.96575,0.28043,1.18488,0.00148,0.000429253,0.000429253,0.000429253
77,1656.06,0.41717,0.99999,0.00217,0.95994,0.99846,0.9934,0.97033,0.28451,1.18222,0.0015,0.000412749,0.000412749,0.000412749
78,1676.88,0.33375,0.85381,0.00154,0.9599,0.99749,0.9934,0.97262,0.27425,1.16819,0.00144,0.000396246,0.000396246,0.000396246
79,1697.93,0.31707,0.86588,0.0014,0.95995,1,0.9934,0.95976,0.28352,1.16307,0.00149,0.000379743,0.000379743,0.000379743
80,1719.03,0.34763,0.87574,0.00151,0.99374,0.95833,0.9934,0.97691,0.27239,1.13754,0.00144,0.000363239,0.000363239,0.000363239
81,1739.84,0.34864,0.90241,0.00141,1,0.99757,0.995,0.97806,0.25071,1.12165,0.00135,0.000346736,0.000346736,0.000346736
82,1760.97,0.30425,0.75278,0.00138,1,0.99149,0.995,0.98392,0.24703,1.1184,0.0013,0.000330233,0.000330233,0.000330233
83,1782.72,0.33698,0.87976,0.00181,0.99951,1,0.995,0.98592,0.26407,1.12454,0.00135,0.000313729,0.000313729,0.000313729
84,1803.67,0.32403,0.7262,0.0013,0.92533,1,0.9918,0.97247,0.27316,1.1286,0.00136,0.000297226,0.000297226,0.000297226
85,1823.84,0.31249,0.76129,0.00139,0.92868,1,0.9918,0.97065,0.27272,1.11836,0.00143,0.000280723,0.000280723,0.000280723
86,1844.61,0.33881,0.7496,0.00145,0.99602,0.95833,0.9934,0.9727,0.25305,1.09967,0.00132,0.00026422,0.00026422,0.00026422
87,1865.2,0.29722,0.81524,0.00121,0.96678,0.95833,0.9934,0.97933,0.2353,1.08654,0.00121,0.000247716,0.000247716,0.000247716
88,1885.55,0.29432,0.72622,0.00143,0.95999,0.99964,0.9934,0.97939,0.23006,1.06777,0.00119,0.000231213,0.000231213,0.000231213
89,1905.93,0.35118,0.74036,0.00152,0.95986,0.99661,0.9934,0.97942,0.22928,1.05972,0.0012,0.00021471,0.00021471,0.00021471
90,1925.85,0.32691,0.74711,0.00141,0.95974,0.99348,0.9934,0.97503,0.23766,1.0541,0.00125,0.000198206,0.000198206,0.000198206
91,1946.89,0.23916,1.06355,0.0013,0.95977,0.99424,0.9918,0.96687,0.25719,1.06033,0.00131,0.000181703,0.000181703,0.000181703
92,1967.65,0.26743,0.96793,0.00139,0.95979,0.99464,0.9902,0.93406,0.32143,1.08118,0.00158,0.0001652,0.0001652,0.0001652
93,1988.46,0.24815,0.96365,0.00142,0.95978,0.99439,0.9918,0.93269,0.33957,1.07973,0.00167,0.000148696,0.000148696,0.000148696
94,2008.68,0.25314,0.97008,0.00132,0.95971,0.99274,0.9934,0.93431,0.33533,1.06014,0.00166,0.000132193,0.000132193,0.000132193
95,2028.45,0.25889,0.92832,0.00141,0.99245,0.95833,0.9934,0.95441,0.32173,1.04905,0.00159,0.00011569,0.00011569,0.00011569
96,2049.63,0.278,0.94051,0.00152,0.99789,0.95833,0.9934,0.96628,0.29232,1.02894,0.00143,9.91865e-05,9.91865e-05,9.91865e-05
97,2071.69,0.21546,0.93057,0.00113,1,0.95691,0.9934,0.9672,0.27971,1.02026,0.00136,8.26832e-05,8.26832e-05,8.26832e-05
98,2093.73,0.25999,1.05177,0.00119,1,0.95629,0.9934,0.97927,0.26115,1.00972,0.00126,6.61799e-05,6.61799e-05,6.61799e-05
99,2118.56,0.21604,1.02074,0.00121,1,0.95413,0.9934,0.98418,0.25453,1.00653,0.00123,4.96766e-05,4.96766e-05,4.96766e-05
100,2141.36,0.24172,0.91157,0.00116,1,0.95577,0.9934,0.98416,0.24782,1.00296,0.00119,3.31733e-05,3.31733e-05,3.31733e-05
