epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1204.97,0.49117,0.56266,0.81265,0.98448,0.99144,0.995,0.7416,0.61434,0.66897,0.88649,0.000297232,0.000297232,0.000297232
82,1221.65,0.46052,0.54523,0.81428,0.98613,0.99078,0.995,0.74942,0.58563,0.65575,0.88316,0.000283085,0.000283085,0.000283085
83,1237.98,0.47252,0.54723,0.81718,0.98463,0.99253,0.995,0.74942,0.59189,0.64301,0.88204,0.000268938,0.000268938,0.000268938
84,1255.67,0.45396,0.55731,0.80924,0.98051,1,0.995,0.74413,0.61682,0.64502,0.88412,0.000254791,0.000254791,0.000254791
85,1271.68,0.4801,0.5282,0.8124,0.9792,1,0.995,0.74041,0.63677,0.65029,0.88775,0.000240644,0.000240644,0.000240644
86,1288.25,0.4985,0.52551,0.80569,0.98061,1,0.995,0.73217,0.61981,0.65039,0.88456,0.000226497,0.000226497,0.000226497
87,1304.71,0.4583,0.50174,0.78276,0.97796,1,0.995,0.73983,0.6008,0.64275,0.88295,0.000212349,0.000212349,0.000212349
88,1321.58,0.4551,0.54071,0.80419,0.97537,1,0.995,0.77564,0.58798,0.64072,0.88049,0.000198202,0.000198202,0.000198202
89,1337.94,0.48507,0.53817,0.7944,0.97461,1,0.995,0.77408,0.58033,0.64478,0.87996,0.000184055,0.000184055,0.000184055
90,1354.28,0.46093,0.53525,0.79237,0.97428,1,0.995,0.74136,0.59163,0.64465,0.88175,0.000169908,0.000169908,0.000169908
91,1371.6,0.47946,0.68795,0.80472,0.97591,1,0.995,0.74181,0.5938,0.64604,0.88221,0.000155761,0.000155761,0.000155761
92,1388.81,0.46543,0.68895,0.82077,0.97775,1,0.995,0.74394,0.58546,0.64714,0.88023,0.000141614,0.000141614,0.000141614
93,1404.83,0.42276,0.65559,0.78537,0.97911,1,0.995,0.74057,0.59103,0.64753,0.88068,0.000127467,0.000127467,0.000127467
94,1420.25,0.42283,0.61528,0.81724,0.97949,1,0.995,0.73806,0.5974,0.65348,0.88177,0.00011332,0.00011332,0.00011332
95,1436.51,0.46211,0.63821,0.78968,0.97992,1,0.995,0.73869,0.60491,0.66018,0.88223,9.91726e-05,9.91726e-05,9.91726e-05
96,1451.59,0.44471,0.65989,0.81137,0.98034,1,0.995,0.73875,0.61371,0.66709,0.88229,8.50255e-05,8.50255e-05,8.50255e-05
97,1466.55,0.42449,0.65176,0.79397,0.98056,1,0.995,0.73675,0.62338,0.67043,0.88324,7.08784e-05,7.08784e-05,7.08784e-05
98,1481.38,0.46448,0.65217,0.81235,0.98068,1,0.995,0.73819,0.63142,0.67245,0.88507,5.67313e-05,5.67313e-05,5.67313e-05
99,1497.5,0.44562,0.65673,0.80006,0.98088,1,0.995,0.7374,0.63717,0.67383,0.88678,4.25842e-05,4.25842e-05,4.25842e-05
100,1512.53,0.43462,0.65318,0.79234,0.98101,1,0.995,0.7374,0.64044,0.67275,0.88791,2.84371e-05,2.84371e-05,2.84371e-05
