epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2745.41,0.29187,0.33311,0.78915,0.99663,0.9375,0.935,0.929,0.25484,0.49096,0.75881,0.000396262,0.000396262,0.000396262
75,2780.48,0.28631,0.32582,0.80592,0.99654,0.9375,0.935,0.92773,0.23771,0.46425,0.75734,0.000382115,0.000382115,0.000382115
76,2815.7,0.28945,0.42284,0.73239,0.99651,0.9375,0.935,0.935,0.23777,0.46423,0.75977,0.000367967,0.000367967,0.000367967
77,2851.23,0.26484,0.8035,0.7456,0.99661,0.9375,0.935,0.935,0.25555,0.47729,0.76065,0.00035382,0.00035382,0.00035382
78,2886.56,0.26362,0.35387,0.73539,0.99671,0.9375,0.935,0.935,0.23923,0.44733,0.75876,0.000339673,0.000339673,0.000339673
79,2924.58,0.33433,0.36268,0.80162,0.99664,0.9375,0.935,0.92164,0.24876,0.44733,0.75759,0.000325526,0.000325526,0.000325526
80,2961.34,0.29427,0.3187,0.79825,0.99674,0.9375,0.935,0.929,0.2427,0.44244,0.75747,0.000311379,0.000311379,0.000311379
81,2997.22,0.2962,0.34297,0.79902,0.99673,0.9375,0.935,0.935,0.2265,0.42141,0.75588,0.000297232,0.000297232,0.000297232
82,3033.1,0.34135,0.36706,0.82771,0.99669,0.9375,0.935,0.935,0.23487,0.44574,0.75568,0.000283085,0.000283085,0.000283085
83,3068.44,0.29176,0.32486,0.82194,0.99668,0.9375,0.935,0.935,0.23203,0.46513,0.75702,0.000268938,0.000268938,0.000268938
84,3103.75,0.26003,0.30211,0.80533,0.99676,0.9375,0.935,0.935,0.21802,0.43481,0.75573,0.000254791,0.000254791,0.000254791
85,3139.37,0.27463,0.31087,0.8023,0.99682,0.9375,0.935,0.935,0.22083,0.4402,0.75497,0.000240644,0.000240644,0.000240644
86,3174.9,0.28081,0.30984,0.79141,0.99689,0.9375,0.935,0.935,0.20527,0.42423,0.75443,0.000226497,0.000226497,0.000226497
87,3210.79,0.28256,0.31924,0.8106,0.99688,0.9375,0.935,0.935,0.21469,0.41862,0.75418,0.000212349,0.000212349,0.000212349
88,3246.63,0.24693,0.33357,0.7338,0.99678,0.9375,0.935,0.935,0.20942,0.43464,0.75376,0.000198202,0.000198202,0.000198202
89,3282.06,0.28287,0.31032,0.81431,0.99674,0.9375,0.935,0.935,0.21754,0.44246,0.75469,0.000184055,0.000184055,0.000184055
